点号,左影像行号,左影像列号,右影像行号,右影像列号,X坐标,Y坐标,Z坐标
1001,1874,2876,1863,937,13769.5806827453,12031.8019298541,778.246504483325
1002,3003,4069,3012,1911,14516.5501462845,11231.492958601,1018.66307221691
