点号,左影像行号,左影像列号,右影像行号,右影像列号,X坐标,Y坐标,Z坐标
1001,1874,2876,1863,937,13769.5806827453,12031.8019298541,778.246504483325
1002,3003,4069,3012,1911,14516.5501462845,11231.492958601,1018.66307221691
1003,2644,3164,2640,1136,13952.7495325663,11472.1913813835,877.752284718146
1004,1672,2425,1652,473,13445.2763799184,12180.3789031491,795.488941445603
